,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
469,Toy Story 2,1999,,7.9,88.0,512493,245.85
470,The Wrestler,2008,,7.9,80.0,285679,26.24
471,"Paris, Texas",1984,,8.1,78.0,85452,2.18
472,Rebel Without a Cause,1955,,7.7,89.0,81241,
473,Ponyo,2008,,7.7,86.0,119107,15.09
474,Road to Perdition,2002,,7.7,72.0,241684,104.45
475,In the Mood for Love,2000,,8.1,85.0,118195,2.73
476,The Boondock Saints,1999,,7.8,44.0,224157,0.03
477,Perfect Blue,1997,,8.0,,53239,0.78
478,The Sting,1973,,8.3,83.0,235289,159.6
479,Kiki's Delivery Service,1989,,7.8,83.0,116676,
480,The Jungle Book,1967,,7.6,65.0,161674,141.84
481,The Great Escape,1963,,8.2,86.0,218629,12.1
482,Brazil,1985,,7.9,84.0,183738,9.93
483,Klaus,2019,,8.2,65.0,72972,
484,Empire of the Sun,1987,,7.7,62.0,112617,22.24
485,Gattaca,1997,,7.8,64.0,274732,12.34
486,The Raid: Redemption,2011,,7.6,73.0,186450,4.11
487,Isle of Dogs,2018,,7.9,82.0,131497,32.02
488,Strangers on a Train,1951,,8.0,88.0,120547,7.63
489,The Outlaw Josey Wales,1976,,7.8,69.0,63806,31.8
490,Dark City,1998,,7.6,66.0,184536,14.38
491,Traffic,2000,,7.6,86.0,192593,124.12
492,The Shop Around the Corner,1940,,8.1,96.0,26641,0.2
493,Dirty Harry,1971,,7.7,90.0,140000,35.9
494,Midnight Cowboy,1969,,7.8,79.0,98192,44.79
495,The Boy in the Striped Pajamas,2008,,7.8,55.0,184989,9.03
496,The Seventh Seal,1957,,8.2,,158171,
497,Gone Baby Gone,2007,,7.6,72.0,244670,20.3
498,The Nightmare Before Christmas,1993,,8.0,82.0,284251,75.08
499,"Blood In, Blood Out",1993,,8.0,47.0,28175,4.5
500,A Silent Voice: The Movie,2016,,8.2,78.0,39459,
501,Battle Royale,2000,,7.6,81.0,165837,
502,Serpico,1973,,7.7,87.0,105891,29.8
503,The Girl with the Dragon Tattoo,2009,,7.8,76.0,205565,10.1
504,Annie Hall,1977,,8.0,92.0,247448,39.2
505,Planet of the Apes,1968,,8.0,79.0,162344,33.4
506,The Holy Mountain,1973,,7.9,,35103,0.06
507,Adaptation.,2002,,7.7,83.0,173309,22.25
508,Eastern Promises,2007,,7.6,82.0,223227,17.11
509,Dawn of the Planet of the Apes,2014,,7.6,79.0,405571,208.55
510,The Ten Commandments,1956,,7.8,,62134,93.74
511,The Illusionist,2006,,7.6,68.0,349695,39.87
512,Andhadhun,2018,,8.3,,64099,1.37
513,Die Hard with a Vengeance,1995,,7.6,58.0,356104,100.01
514,Fried Green Tomatoes,1991,,7.7,64.0,65127,82.42
515,A Bronx Tale,1993,,7.8,80.0,124447,17.27
516,"Synecdoche, New York",2008,,7.6,67.0,78990,3.08
517,Metropolis,1927,,8.3,98.0,155282,1.24
518,Enemy at the Gates,2001,,7.6,53.0,237295,51.4
519,Castle in the Sky,1986,,8.0,78.0,144307,
520,Sling Blade,1996,,8.0,84.0,85492,24.48
521,Akira,1988,,8.0,,158321,0.55
522,Gangs of Wasseypur,2012,,8.2,89.0,77360,
523,The Conversation,1974,,7.8,85.0,94993,4.42
524,The Lego Movie,2014,,7.7,83.0,318385,257.76
525,Sunset Blvd.,1950,,8.4,,194572,
526,Before Sunset,2004,,8.0,90.0,227085,5.82
527,High Noon,1952,,7.9,89.0,95247,9.45
528,A Separation,2011,,8.3,95.0,213045,7.1
529,Yojimbo,1961,,8.2,,106695,
530,"Crouching Tiger, Hidden Dragon",2000,,7.8,94.0,248857,128.08
531,Ben-Hur,1959,,8.1,90.0,213998,74.7
532,Kramer vs. Kramer,1979,,7.8,77.0,128747,106.26
533,25th Hour,2002,,7.6,68.0,167509,13.06
534,The Man from Earth,2007,,7.9,,169922,
535,The Searchers,1956,,7.9,94.0,78038,
536,Funny Games,1997,,7.6,69.0,62380,
537,The Last Picture Show,1971,,8.0,93.0,40990,29.13
538,The Apartment,1960,,8.3,94.0,157867,18.6
539,Before Midnight,2013,,7.9,94.0,135434,8.11
540,The Artist,2011,,7.9,89.0,226642,44.67
541,The French Connection,1971,,7.7,94.0,106776,15.63
542,Gandhi,1982,,8.0,79.0,214640,52.77
543,Rashomon,1950,,8.2,98.0,147222,0.1
544,Butch Cassidy and the Sundance Kid,1969,,8.0,66.0,198617,102.31
545,In the Heat of the Night,1967,,7.9,75.0,65480,24.38
546,Blood Simple,1984,,7.6,81.0,84944,2.15
547,La Haine,1995,,8.1,,143386,0.31
548,Awakenings,1990,,7.8,74.0,120041,52.1
549,Lord of War,2005,,7.6,62.0,289084,24.15
550,7 Kogustaki Mucize,2019,,8.3,,27677,
551,Snow White and the Seven Dwarfs,1937,,7.6,95.0,176403,184.93
552,Kung Fu Hustle,2004,,7.7,78.0,124225,17.11
553,Dancer in the Dark,2000,,8.0,61.0,99654,4.18
554,Malcolm X,1992,,7.7,73.0,82963,48.17
555,Hachi: A Dog's Tale,2009,,8.1,,244381,
556,Solaris,1972,,8.1,90.0,77617,
557,Like Stars on Earth,2007,,8.4,,160357,1.22
558,Seven Pounds,2008,,7.6,36.0,281564,69.95
559,Rushmore,1998,,7.7,86.0,165236,17.11
560,Cool Hand Luke,1967,,8.1,92.0,157716,16.22
561,Papillon,1973,,8.0,58.0,118817,53.27
562,Persona,1966,,8.1,86.0,97998,
563,Star Trek II: The Wrath of Khan,1982,,7.7,67.0,110324,78.91
564,Let the Right One In,2008,,7.9,82.0,202100,2.12
565,In the Name of the Father,1993,,8.1,84.0,151904,25.01
566,Paths of Glory,1957,,8.4,,171414,
567,Robin Hood,1973,,7.6,57.0,112202,32.06
568,A Streetcar Named Desire,1951,,8.0,97.0,96807,8.0
569,Cold War,2018,,7.6,90.0,45174,4.57
570,Batman: Mask of the Phantasm,1993,,7.8,,41933,5.62
571,PK,2014,,8.1,,155836,10.62
572,The Body,2012,,7.6,,53861,
573,The Iron Giant,1999,,8.0,85.0,167536,23.16
574,The Insider,1999,,7.8,84.0,156482,28.97
575,Ghost in the Shell,1995,,8.0,76.0,124797,0.52
576,Ordinary People,1980,,7.7,86.0,45453,54.8
577,Doctor Zhivago,1965,,8.0,69.0,67993,111.72
578,The Right Stuff,1983,,7.8,91.0,54760,21.5
579,The Grapes of Wrath,1940,,8.0,96.0,84399,0.06
580,Sing Street,2016,,7.9,79.0,82306,3.24
581,Rope,1948,,8.0,73.0,125110,
582,The King of Comedy,1982,,7.8,73.0,83424,2.5
583,The Fall,2006,,7.9,64.0,105528,2.28
584,Pride,2014,,7.8,79.0,50341,
585,The Bridge on the River Kwai,1957,,8.1,87.0,197803,44.91
586,Rebecca,1940,,8.1,86.0,118618,4.36
587,Network,1976,,8.1,83.0,141144,
588,Blow-Up,1966,,7.6,82.0,54779,
589,Paddington 2,2017,,7.8,88.0,57481,40.44
590,Days of Heaven,1978,,7.8,93.0,50630,
591,La Dolce Vita,1960,,8.0,95.0,64146,19.52
592,Flipped,2010,,7.7,45.0,79333,1.75
593,Roman Holiday,1953,,8.0,78.0,124122,
594,On the Waterfront,1954,,8.1,91.0,137713,9.6
595,The Name of the Rose,1986,,7.7,54.0,99011,7.15
596,Beasts of No Nation,2015,,7.7,79.0,71153,0.08
597,Bonnie and Clyde,1967,,7.8,86.0,99819,
598,I Am Sam,2001,,7.7,28.0,140787,40.31
599,50/50,2011,,7.6,72.0,311153,35.01
600,Glengarry Glen Ross,1992,,7.7,82.0,93467,10.73
601,The Great Beauty,2013,,7.8,86.0,78346,2.85
602,M,1931,,8.3,,138467,0.03
603,Amores Perros,2000,,8.1,83.0,218408,5.38
604,The Dirty Dozen,1967,,7.7,73.0,65484,45.3
605,Night of the Living Dead,1968,,7.9,89.0,112664,0.09
606,Mary and Max,2009,,8.1,,160376,
607,The Bridges of Madison County,1995,,7.6,66.0,70759,71.52
608,Charade,1963,,7.9,83.0,65791,13.47
609,Dawn of the Dead,1978,,7.9,71.0,108799,5.1
610,8½,1963,,8.0,,105900,0.05
611,How to Train Your Dragon 2,2014,,7.8,76.0,297257,177.0
612,Frost/Nixon,2008,,7.7,80.0,101067,18.59
613,Witness for the Prosecution,1957,,8.4,,103595,8.18
614,Ed Wood,1994,,7.8,70.0,162580,5.89
615,Evil Dead II,1987,,7.8,69.0,144101,5.92
616,The Secret World of Arrietty,2010,,7.6,80.0,76865,19.2
617,Dangerous Liaisons,1988,,7.6,74.0,62939,34.7
618,After Hours,1985,,7.7,90.0,56183,10.6
619,The Last King of Scotland,2006,,7.7,74.0,172359,17.61
620,Mustang,2015,,7.6,83.0,34365,0.85
621,The Last Emperor,1987,,7.7,76.0,91340,43.98
622,Run Lola Run,1998,,7.6,77.0,185415,7.27
623,Stalag 17,1953,,8.0,84.0,50162,
624,The Best Offer,2013,,7.8,49.0,104680,0.09
625,Baahubali: The Beginning,2015,,8.1,,99569,6.74
626,Naked,1993,,7.8,84.0,33061,1.77
627,Paprika,2006,,7.7,81.0,67850,0.88
628,Loving Vincent,2017,,7.8,62.0,47831,6.74
629,Drishyam,2015,,8.2,,64970,0.74
630,The Raid 2,2014,,8.0,71.0,111577,2.63
631,"Planes, Trains & Automobiles",1987,,7.6,72.0,118675,49.53
632,Mother,2009,,7.8,79.0,48213,0.55
633,The Wind Rises,2013,,7.8,83.0,69379,5.21
634,Manhattan,1979,,7.9,83.0,128677,45.7
635,21 Grams,2003,,7.7,70.0,220768,16.29
636,This Is England,2006,,7.7,86.0,113912,0.33
637,Barton Fink,1991,,7.7,69.0,110384,6.15
638,The Hidden Fortress,1958,,8.1,,32896,
639,Black Book,2006,,7.7,71.0,71325,4.4
640,Letters from Iwo Jima,2006,,7.9,89.0,151715,13.76
641,Ray,2004,,7.7,73.0,135608,75.33
642,It Happened One Night,1934,,8.1,87.0,90863,4.36
643,Chungking Express,1994,,8.1,77.0,59468,0.6
644,Fanny and Alexander,1982,,8.1,100.0,55992,4.97
645,Porco Rosso,1992,,7.7,83.0,73349,
646,Hotel Rwanda,2004,,8.1,79.0,328149,23.53
647,All the President's Men,1976,,8.0,84.0,99287,70.6
648,Whisper of the Heart,1995,,7.9,75.0,48163,
649,Lucky Number Slevin,2006,,7.7,53.0,296206,22.49
650,The Straight Story,1999,,8.0,86.0,79627,6.2
651,Hero,2002,,7.9,85.0,171580,53.71
652,Wings of Desire,1987,,8.0,79.0,62549,3.33
653,Me and Earl and the Dying Girl,2015,,7.7,74.0,120083,6.74
654,Badhaai Ho,2018,,8.0,,25964,
655,Nosferatu,1922,,7.9,,86225,
656,The Wild Bunch,1969,,7.9,97.0,75817,12.06
657,Miller's Crossing,1990,,7.7,66.0,123391,5.08
658,The Treasure of the Sierra Madre,1948,,8.2,98.0,110893,5.01
659,Dial M for Murder,1954,,8.2,75.0,152290,0.01
660,Badlands,1973,,7.8,93.0,63552,
661,Kagemusha,1980,,8.0,84.0,31042,
662,My Left Foot,1989,,7.9,97.0,65876,14.74
663,Double Indemnity,1944,,8.3,95.0,138728,5.72
664,All About Eve,1950,,8.2,98.0,117069,0.01
665,Happiness,1998,,7.7,81.0,65202,2.81
666,Watership Down,1978,,7.6,64.0,32890,
667,What Ever Happened to Baby Jane?,1962,,8.1,75.0,48541,4.05
668,Throne of Blood,1957,,8.1,,44354,
669,A Little Princess,1995,,7.7,83.0,31342,10.02
670,Clerks,1994,,7.7,70.0,208767,3.15
671,Kubo and the Two Strings,2016,,7.8,84.0,114476,48.02
672,Freaks,1932,,7.9,80.0,40968,
673,Giant,1956,,7.6,84.0,33107,
674,The Great Dictator,1940,,8.4,,196176,0.29
675,Neon Genesis Evangelion: The End of Evangelion,1997,,8.1,,35803,
676,The Third Man,1949,,8.1,97.0,154562,0.45
677,Mommy,2014,,8.1,74.0,48317,3.49
678,Being There,1979,,8.0,83.0,63914,30.18
679,Cabaret,1972,,7.8,80.0,46980,42.77
680,Cinderella Man,2005,,8.0,69.0,173019,61.65
681,The Muppet Movie,1979,,7.6,74.0,31722,76.66
682,Pink Floyd: The Wall,1982,,8.1,47.0,74336,22.24
683,The Man from Nowhere,2010,,7.8,,60460,0.01
684,Ikiru,1952,,8.3,,64807,0.06
685,Detachment,2011,,7.7,52.0,74413,0.07
686,From Here to Eternity,1953,,7.6,85.0,42158,30.5
687,Land of Mine,2015,,7.8,75.0,33460,0.44
688,Modern Times,1936,,8.5,96.0,209852,0.16
689,King Kong,1933,,7.9,90.0,77266,10.0
690,The Tenant,1976,,7.7,,38139,1.92
691,Wild Strawberries,1957,,8.2,88.0,92158,
692,Touch of Evil,1958,,8.0,99.0,96518,2.24
693,Gully Boy,2019,,8.1,65.0,28830,5.57
694,Sabrina,1954,,7.7,72.0,57392,
695,Victoria,2015,,7.6,77.0,50383,
696,Peeping Tom,1960,,7.7,,29843,0.08
697,K.G.F: Chapter 1,2018,,8.2,,30895,
698,The Killing,1956,,8.0,91.0,79210,
699,The Mirror,1975,,8.1,,37779,0.18
700,Cape Fear,1962,,7.7,76.0,25569,
701,Repulsion,1965,,7.7,91.0,47414,
702,The Remains of the Day,1993,,7.8,84.0,63635,22.95
703,Belle de Jour,1967,,7.7,,38916,0.03
704,Three Colors: Blue,1993,,7.9,85.0,85790,1.32
705,Breaking the Waves,1996,,7.8,76.0,60881,4.04
706,Anatomy of a Murder,1959,,8.0,95.0,58116,11.9
707,His Girl Friday,1940,,7.9,,51989,0.3
708,Dead Man,1995,,7.6,62.0,88370,1.04
709,Bicycle Thieves,1948,,8.3,,140443,0.33
710,Breathless,1960,,7.9,,70661,0.34
711,The Secret of NIMH,1982,,7.6,76.0,35319,10.14
712,Harold and Maude,1971,,7.9,62.0,69123,
713,Contempt,1963,,7.6,,27759,0.04
714,Amour,2012,,7.9,94.0,90793,6.74
715,Nebraska,2013,,7.7,87.0,110277,17.65
716,The Big Sleep,1946,,7.9,,77277,6.54
717,All That Jazz,1979,,7.9,72.0,27009,37.82
718,Duck You Sucker,1971,,7.6,77.0,29068,0.7
719,Stagecoach,1939,,7.9,93.0,41971,
720,The Verdict,1982,,7.7,77.0,34788,54.0
721,The Philadelphia Story,1940,,7.9,96.0,61827,
722,The Night of the Hunter,1955,,8.0,99.0,79854,0.65
723,The Long Goodbye,1973,,7.6,87.0,25028,0.96
724,When Marnie Was There,2014,,7.7,72.0,30062,0.77
725,The Hustler,1961,,8.0,90.0,73748,8.28
726,Hannah and Her Sisters,1986,,7.9,90.0,65453,40.08
727,Mysterious Skin,2004,,7.6,73.0,64769,0.7
728,High and Low,1963,,8.4,,30560,
729,Guess Who's Coming to Dinner,1967,,7.8,63.0,38135,56.7
730,Kelly's Heroes,1970,,7.6,50.0,44157,1.38
731,Fantasia,1940,,7.8,96.0,86439,76.41
732,Swades,2004,,8.2,,80580,1.22
733,East of Eden,1955,,7.9,72.0,39205,
734,Where Eagles Dare,1968,,7.7,63.0,50470,
735,On Golden Pond,1981,,7.6,68.0,26871,119.29
736,The Tale of The Princess Kaguya,2013,,8.0,89.0,35829,1.51
737,Short Cuts,1993,,7.7,79.0,41431,6.11
738,Le Samouraï,1967,,8.1,,43583,0.04
739,Notorious,1946,,7.9,100.0,89971,10.46
740,Queen,2013,,8.2,,58964,1.43
741,Zindagi Na Milegi Dobara,2011,,8.1,,65119,3.11
742,Withnail & I,1987,,7.7,84.0,39199,1.54
743,Fitzcarraldo,1982,,8.1,,30321,
744,Lady Vengeance,2005,,7.6,75.0,69853,0.21
745,Ninja Scroll,1993,,7.9,,33667,
746,The Longest Day,1962,,7.8,75.0,51272,39.1
747,The African Queen,1951,,7.7,91.0,69955,0.54
748,Patton,1970,,7.9,91.0,92111,61.7
749,The Hurricane,1999,,7.6,74.0,89869,50.67
750,Andrei Rublev,1966,,8.1,,44404,0.1
751,Paper Moon,1973,,8.1,77.0,41016,30.93
752,The Chaser,2008,,7.9,64.0,55793,
753,"Aguirre, the Wrath of God",1972,,7.9,,50649,
754,OMG: Oh My God!,2012,,8.1,,49328,0.92
755,The Day of the Jackal,1973,,7.8,80.0,36366,16.06
756,La Vie En Rose,2007,,7.6,66.0,81130,10.3
757,3-Iron,2004,,8.0,72.0,48419,0.24
758,The Salesman,2016,,7.8,85.0,48181,2.4
759,Three Colors: Red,1994,,8.1,100.0,87061,4.04
760,The 400 Blows,1959,,8.1,,101181,
761,Who's Afraid of Virginia Woolf?,1966,,8.0,75.0,67425,
762,Hamlet,1996,,7.7,,35443,4.41
763,Children of Heaven,1997,,8.3,,61692,0.93
764,Judgment at Nuremberg,1961,,8.2,60.0,66920,
765,The Quiet Man,1952,,7.7,,33720,10.55
766,"South Park: Bigger, Longer & Uncut",1999,,7.7,73.0,189442,52.01
767,City Lights,1931,,8.5,99.0,161477,0.02
768,Frankenstein,1931,,7.8,91.0,63017,
769,Open Your Eyes,1997,,7.8,,62631,0.37
770,Perfect Strangers,2016,,7.8,,53970,
771,Red River,1948,,7.8,,27265,
772,Shadow of a Doubt,1943,,7.8,94.0,57684,
773,Hedwig and the Angry Inch,2001,,7.7,85.0,31357,3.03
774,Infernal Affairs,2002,,8.0,75.0,116056,0.17
775,Thank You for Smoking,2005,,7.6,71.0,210846,24.79
776,Tokyo Story,1953,,8.2,,49883,
777,Waking Life,2001,,7.8,82.0,59710,2.89
778,A Christmas Story,1983,,7.9,77.0,127514,20.61
779,The Adventures of Robin Hood,1938,,7.9,97.0,46149,3.98
780,A Man for All Seasons,1966,,7.7,72.0,30353,28.35
781,The Man Who Would Be King,1975,,7.8,91.0,42977,
782,"Spring, Summer, Fall, Winter... and Spring",2003,,8.0,85.0,75273,2.38
783,Once,2007,,7.8,88.0,108813,9.44
784,Good Bye Lenin!,2003,,7.7,68.0,135283,4.06
785,The Best Years of Our Lives,1946,,8.0,93.0,56070,23.65
786,A Man Called Ove,2015,,7.7,70.0,44600,3.36
787,Cat on a Hot Tin Roof,1958,,8.0,84.0,43662,17.57
788,Bajrangi Bhaijaan,2015,,8.0,,69454,8.18
789,Zulu,1964,,7.7,77.0,35031,
790,Lagaan: Once Upon a Time in India,2001,,8.1,84.0,101853,0.07
791,The Manchurian Candidate,1962,,7.9,94.0,69985,
792,The Diving Bell and the Butterfly,2007,,8.0,92.0,101764,5.99
793,All About My Mother,1999,,7.8,87.0,86616,8.26
794,Elite Squad,2007,,8.1,33.0,96178,0.01
795,Leviathan,2014,,7.6,92.0,47717,1.09
796,The Legend of 1900,1998,,8.1,58.0,57074,0.26
797,Sanjuro,1962,,8.1,,31115,
798,The Double Life of Véronique,1991,,7.8,86.0,40128,2.0
799,The Little Prince,2015,,7.7,70.0,54740,1.34
800,The Battle of Algiers,1966,,8.1,96.0,50712,0.06
801,Song of the Sea,2014,,8.1,85.0,48860,0.86
802,The White Ribbon,2009,,7.8,82.0,67064,2.22
803,The Kid,1921,,8.3,,108213,5.45
804,Anand,1971,,8.5,,27506,
805,Amarcord,1973,,7.9,,38622,
806,The Vanishing,1988,,7.7,,32808,
807,Only Yesterday,1991,,7.6,90.0,25062,0.45
808,Pierrot le Fou,1965,,7.6,,28295,
809,Underground,1995,,8.1,,53992,0.17
810,Loveless,2017,,7.6,86.0,28110,0.57
811,The Day the Earth Stood Still,1951,,7.7,,75172,
812,Special 26,2013,,8.0,,49237,1.08
813,Control,2007,,7.7,78.0,60508,0.87
814,5 Centimeters Per Second,2007,,7.6,,48841,
815,Munna Bhai M.B.B.S.,2003,,8.1,,71387,
816,The Lion in Winter,1968,,7.9,,28333,22.28
817,Talk to Her,2002,,7.9,86.0,102401,9.28
818,The Wave,2008,,7.6,,100252,
819,Volver,2006,,7.6,84.0,92765,12.9
820,Mr. Smith Goes to Washington,1939,,8.1,73.0,104063,9.6
821,A Prophet,2009,,7.9,90.0,91789,2.08
822,Sholay,1975,,8.2,,49980,
823,The Motorcycle Diaries,2004,,7.8,75.0,95094,16.76
824,Bringing Up Baby,1938,,7.9,91.0,53679,
825,Uri: The Surgical Strike,2019,,8.3,,40515,4.19
826,The Invisible Man,1933,,7.7,87.0,29118,
827,Philomena,2013,,7.6,77.0,92528,37.71
828,Sympathy for Mr. Vengeance,2002,,7.6,56.0,60709,0.05
829,Out of the Past,1947,,8.0,,31553,
830,The Station Agent,2003,,7.6,81.0,66415,5.74
831,Eyes Without a Face,1960,,7.7,90.0,25976,0.05
832,The 39 Steps,1935,,7.6,93.0,50190,
833,The Lunchbox,2013,,7.8,76.0,48475,4.23
834,Rang De Basanti,2006,,8.2,,108260,2.2
835,Harvey,1950,,7.9,,51839,
836,Kal ho naa ho,2003,,8.0,54.0,61645,1.79
837,All Quiet on the Western Front,1930,,8.0,91.0,56122,3.27
838,The Lady Vanishes,1938,,7.8,,45884,
839,Gilda,1946,,7.7,,26992,
840,Delicatessen,1991,,7.6,66.0,78869,1.79
841,Secrets & Lies,1996,,8.0,91.0,36073,13.42
842,My Name Is Khan,2010,,8.0,50.0,96201,4.02
843,Cowboy Bebop: The Movie,2001,,7.9,61.0,41777,1.0
844,The Message,1976,,8.2,,42690,
845,Talvar,2015,,8.2,,29535,0.34
846,A Very Long Engagement,2004,,7.6,76.0,70063,6.17
847,The Cabinet of Dr. Caligari,1920,,8.1,,55217,
848,The Taking of Pelham One Two Three,1974,,7.7,68.0,25581,
849,To Have and Have Not,1944,,7.8,,30103,
850,Sunrise,1927,,8.1,,45873,0.54
851,Dead Man's Shoes,2004,,7.6,52.0,48399,0.01
852,Lilya 4-Ever,2002,,7.8,82.0,41645,0.18
853,A Hard Day's Night,1964,,7.6,96.0,39202,13.78
854,The Wages of Fear,1953,,8.1,85.0,52588,
855,Three Colors: White,1994,,7.6,88.0,61408,1.46
856,Laura,1944,,8.0,,41444,4.36
857,Rififi,1955,,8.2,97.0,25891,0.06
858,Kahaani,2012,,8.1,,56036,1.04
859,The World's Fastest Indian,2005,,7.8,68.0,51042,5.13
860,Evil,2003,,7.8,61.0,35020,0.02
861,Invasion of the Body Snatchers,1956,,7.7,92.0,43659,
862,The Odd Couple,1968,,7.7,86.0,30722,44.53
863,Once Were Warriors,1994,,7.9,77.0,30820,2.2
864,The Red Shoes,1948,,8.1,,29649,10.9
865,In a Lonely Place,1950,,8.0,,25104,
866,Key Largo,1948,,7.8,,36146,
867,To Be or Not to Be,1942,,8.2,86.0,26931,
868,Persepolis,2007,,8.0,90.0,86689,4.45
869,Wait Until Dark,1967,,7.8,81.0,27001,17.55
870,Bride of Frankenstein,1935,,7.8,95.0,41983,4.36
871,Udaan,2010,,8.2,,41333,0.01
872,Baahubali 2: The Conclusion,2017,,8.2,,71945,20.19
873,Arsenic and Old Lace,1944,,8.0,,63947,
874,Ivan's Childhood,1962,,8.1,,29955,
875,Dil Chahta Hai,2001,,8.1,,65092,0.3
876,Cries & Whispers,1972,,8.1,,28937,1.74
877,The Bandit,1996,,8.3,,61409,
878,The Discreet Charm of the Bourgeoisie,1972,,7.9,93.0,37147,0.2
879,"I, Daniel Blake",2016,,7.9,78.0,51136,0.26
880,Raise the Red Lantern,1991,,8.1,,28532,2.6
881,The Exterminating Angel,1962,,8.1,,28537,
882,The Conformist,1970,,8.0,100.0,25873,0.54
883,The Celebration,1998,,8.0,82.0,76191,1.65
884,Bhaag Milkha Bhaag,2013,,8.2,,59117,1.63
885,Death Note,2006,,7.7,,28109,
886,Ayla: The Daughter of War,2017,,8.5,,31941,
887,Night on Earth,1991,,7.8,68.0,53771,2.02
888,Wolf Children,2012,,8.1,71.0,36815,
889,The Innocents,1961,,7.8,88.0,25762,2.62
890,About Elly,2009,,8.0,87.0,43225,0.11
891,After the Wedding,2006,,7.7,78.0,31174,0.41
892,Pink,2016,,8.1,,37190,1.24
893,Miracle on 34th Street,1947,,7.9,88.0,38965,2.65
894,My Father and My Son,2005,,8.3,,75623,
895,Crimes and Misdemeanors,1989,,7.9,77.0,53333,18.25
896,The Girl Who Leapt Through Time,2006,,7.8,,58185,
897,Sleuth,1972,,8.0,,43936,4.08
898,Jules and Jim,1962,,7.8,97.0,36380,
899,Hard Boiled,1992,,7.8,,45733,
900,Hera Pheri,2000,,8.2,,54288,
901,La Strada,1954,,8.0,,56644,
902,Inherit the Wind,1960,,8.1,75.0,26505,
903,The Sea Inside,2004,,8.0,74.0,76031,2.09
904,Love Me If You Dare,2003,,7.6,45.0,66156,0.55
905,Haider,2014,,8.1,,49047,0.9
906,L'Avventura,1960,,7.9,,25479,
907,Down by Law,1986,,7.8,75.0,46661,1.44
908,Barfi!,2012,,8.1,,73600,2.8
909,Vivre Sa Vie,1962,,8.0,,26459,
910,Shine,1996,,7.7,87.0,50383,35.81
911,Winter Sleep,2014,,8.1,88.0,43593,0.17
912,Head-On,2004,,7.9,78.0,49883,
913,The Passion of Joan of Arc,1928,,8.1,,45453,0.02
914,"4 Months, 3 Weeks and 2 Days",2007,,7.9,97.0,55265,1.19
915,Lupin the 3rd: Castle of Cagliostro,1979,,7.7,71.0,25706,
916,Once Upon a Time in Anatolia,2011,,7.9,82.0,39633,0.14
917,"Black Cat, White Cat",1998,,8.1,73.0,49666,0.35
918,In a Better World,2010,,7.6,65.0,37898,1.01
919,In America,2002,,7.7,76.0,39992,15.54
920,My Sassy Girl,2001,,8.0,,44502,
921,The Return,2003,,8.0,82.0,41132,0.5
922,Diabolique,1955,,8.0,,60099,
923,Kokuhaku,2010,,7.8,,34667,
924,A Wednesday,2008,,8.1,,72219,
925,The Broken Circle Breakdown,2012,,7.8,70.0,38509,0.18
926,Fearless,2006,,7.6,70.0,71890,24.63
927,Dilwale Dulhania Le Jayenge,1995,,8.1,,61586,
928,The Thin Man,1934,,8.0,,25636,
929,Jab We Met,2007,,7.9,,46108,0.41
930,The General,1926,,8.1,,78261,1.03
931,The Magdalene Sisters,2002,,7.7,83.0,25537,4.89
932,Paan Singh Tomar,2012,,8.2,,32122,0.04
933,The Experiment,2001,,7.7,60.0,89796,0.14
934,Interstate 60: Episodes of the Road,2002,,7.7,,29254,
935,Battleship Potemkin,1925,,8.0,,51550,0.05
936,The Circus,1928,,8.1,90.0,26582,
937,Tokyo Godfathers,2003,,7.8,73.0,29526,0.13
938,The Purple Rose of Cairo,1985,,7.7,75.0,45918,10.63
939,Departures,2008,,8.1,68.0,47464,1.5
940,Cell 211,2009,,7.6,,62685,
941,Sweet Smell of Success,1957,,8.1,100.0,27081,
942,Dev.D,2009,,8.0,,28023,0.01
943,The Rules of the Game,1939,,8.0,,25971,
944,Brief Encounter,1945,,8.0,92.0,34311,
945,Joint Security Area,2000,,7.8,58.0,25416,
946,"Carry On, Munna Bhai",2006,,8.1,,41691,2.22
947,The Virgin Spring,1960,,8.1,,25772,1.53
948,Baby,2015,,8.0,,51429,
949,Chak de! India,2007,,8.2,68.0,71812,1.11
950,The Gold Rush,1925,,8.2,,96726,5.45
951,Andaz Apna Apna,1994,,8.2,,48128,
952,The Ladykillers,1955,,7.7,91.0,25518,
953,Fireworks,1997,,7.8,,26821,0.23
954,Ace in the Hole,1951,,8.1,72.0,30265,3.97
955,Lifeboat,1944,,7.6,78.0,25721,
956,Il Postino,1994,,7.7,81.0,32686,21.85
957,The Past,2013,,7.8,85.0,43945,1.33
958,Nights of Cabiria,1957,,8.1,,41664,0.75
959,White Heat,1949,,8.1,,28806,
960,Au Revoir les Enfants,1987,,8.0,88.0,30294,4.54
961,Veer-Zaara,2004,,7.8,67.0,47677,2.92
962,Udta Punjab,2016,,7.8,,25950,
963,Duck Soup,1933,,7.8,93.0,54558,
964,Black,2005,,8.2,,32755,0.73
965,The Triplets of Belleville,2003,,7.8,91.0,49820,7.0
966,Tangerines,2013,,8.2,73.0,37174,0.14
967,The Lost Weekend,1945,,7.9,,32636,9.46
968,Elite Squad 2: The Enemy Within,2010,,8.0,71.0,77968,0.1
969,Love and Death,1975,,7.7,89.0,35082,
